#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
IV	13988048	13988069	21UR-3681	255.0	+	13988048	13988069	0	1	21	13988047	pis_not_detected_CAGE.bed
IV	15139284	15139305	21UR-6384	255.0	-	15139284	15139305	0	1	21	15139283	pis_not_detected_CAGE.bed
IV	15217558	15217579	21UR-15330	255.0	-	15217558	15217579	0	1	21	15217557	pis_not_detected_CAGE.bed
IV	14364328	14364349	21UR-4167	255.0	-	14364328	14364349	0	1	21	14364327	pis_not_detected_CAGE.bed
IV	17177021	17177042	21UR-6150	255.0	+	17177021	17177042	0	1	21	17177020	pis_not_detected_CAGE.bed
IV	13544322	13544343	21UR-7017	255.0	-	13544322	13544343	0	1	21	13544321	pis_not_detected_CAGE.bed
IV	16192624	16192645	21UR-4380	255.0	-	16192624	16192645	0	1	21	16192623	pis_not_detected_CAGE.bed
IV	15144962	15144983	21UR-7694	255.0	-	15144962	15144983	0	1	21	15144961	pis_not_detected_CAGE.bed
IV	15488873	15488894	21UR-7068	255.0	-	15488873	15488894	0	1	21	15488872	pis_not_detected_CAGE.bed
IV	14385666	14385687	21UR-8811	255.0	-	14385666	14385687	0	1	21	14385665	pis_not_detected_CAGE.bed
IV	15538915	15538936	21UR-788	255.0	-	15538915	15538936	0	1	21	15538914	pis_not_detected_CAGE.bed
IV	5116369	5116390	21UR-6061	255.0	+	5116369	5116390	0	1	21	5116364	pis_not_detected_CAGE.bed
IV	4940321	4940342	21UR-7514	255.0	-	4940321	4940342	0	1	21	4940317	pis_not_detected_CAGE.bed
IV	15761407	15761428	21UR-4347	255.0	+	15761407	15761428	0	1	21	15761406	pis_not_detected_CAGE.bed
IV	15267153	15267174	21UR-10241	255.0	-	15267153	15267174	0	1	21	15267152	pis_not_detected_CAGE.bed
IV	14496095	14496116	21UR-8595	255.0	-	14496095	14496116	0	1	21	14496094	pis_not_detected_CAGE.bed
IV	7349584	7349605	21UR-14956	255.0	+	7349584	7349605	0	1	21	7349577	pis_not_detected_CAGE.bed
IV	16029044	16029065	21UR-10594	255.0	-	16029044	16029065	0	1	21	16029043	pis_not_detected_CAGE.bed
IV	14645188	14645209	21UR-6524	255.0	+	14645188	14645209	0	1	21	14645187	pis_not_detected_CAGE.bed
IV	5594651	5594672	21UR-4736	255.0	-	5594651	5594672	0	1	21	5594646	pis_not_detected_CAGE.bed
IV	16481865	16481886	21UR-5593	255.0	+	16481865	16481886	0	1	21	16481864	pis_not_detected_CAGE.bed
IV	5578279	5578300	21UR-12725	255.0	-	5578279	5578300	0	1	21	5578274	pis_not_detected_CAGE.bed
IV	6487325	6487346	21UR-7992	255.0	+	6487325	6487346	0	1	21	6487319	pis_not_detected_CAGE.bed
IV	15151532	15151553	21UR-1126	255.0	+	15151532	15151553	0	1	21	15151531	pis_not_detected_CAGE.bed
IV	16898306	16898327	21UR-4606	255.0	+	16898306	16898327	0	1	21	16898305	pis_not_detected_CAGE.bed
IV	16019843	16019864	21UR-3508	255.0	-	16019843	16019864	0	1	21	16019842	pis_not_detected_CAGE.bed
IV	5106849	5106870	21UR-5324	255.0	-	5106849	5106870	0	1	21	5106844	pis_not_detected_CAGE.bed
X	14370336	14370357	21UR-15702	255.0	+	14370336	14370357	0	1	21	14370335	pis_not_detected_CAGE.bed
IV	15481964	15481985	21UR-6894	255.0	+	15481964	15481985	0	1	21	15481963	pis_not_detected_CAGE.bed
IV	13640610	13640631	21UR-6295	255.0	-	13640610	13640631	0	1	21	13640609	pis_not_detected_CAGE.bed
IV	16082678	16082699	21UR-6811	255.0	+	16082678	16082699	0	1	21	16082677	pis_not_detected_CAGE.bed
IV	14191900	14191921	21UR-12872	255.0	+	14191900	14191921	0	1	21	14191899	pis_not_detected_CAGE.bed
IV	16718714	16718735	21UR-1913	255.0	+	16718714	16718735	0	1	21	16718713	pis_not_detected_CAGE.bed
IV	15132178	15132199	21UR-10696	255.0	+	15132178	15132199	0	1	21	15132177	pis_not_detected_CAGE.bed
IV	14401111	14401132	21UR-6038	255.0	+	14401111	14401132	0	1	21	14401110	pis_not_detected_CAGE.bed
IV	6432698	6432719	21UR-13140	255.0	+	6432698	6432719	0	1	21	6432692	pis_not_detected_CAGE.bed
IV	15249716	15249737	21UR-12782	255.0	+	15249716	15249737	0	1	21	15249715	pis_not_detected_CAGE.bed
IV	16781442	16781463	21UR-1250	255.0	-	16781442	16781463	0	1	21	16781441	pis_not_detected_CAGE.bed
IV	14312408	14312429	21UR-10042	255.0	+	14312408	14312429	0	1	21	14312407	pis_not_detected_CAGE.bed
IV	15548833	15548854	21UR-12587	255.0	-	15548833	15548854	0	1	21	15548832	pis_not_detected_CAGE.bed
IV	16565267	16565288	21UR-9372	255.0	-	16565267	16565288	0	1	21	16565266	pis_not_detected_CAGE.bed
IV	17200620	17200641	21UR-4876	255.0	-	17200620	17200641	0	1	21	17200619	pis_not_detected_CAGE.bed
IV	16117713	16117734	21UR-2867	255.0	+	16117713	16117734	0	1	21	16117712	pis_not_detected_CAGE.bed
IV	15113565	15113586	21UR-13498	255.0	-	15113565	15113586	0	1	21	15113564	pis_not_detected_CAGE.bed
IV	14877478	14877499	21UR-11679	255.0	-	14877478	14877499	0	1	21	14877477	pis_not_detected_CAGE.bed
IV	17020211	17020232	21UR-5170	255.0	+	17020211	17020232	0	1	21	17020210	pis_not_detected_CAGE.bed
IV	6869751	6869772	21UR-9864	255.0	-	6869751	6869772	0	1	21	6869745	pis_not_detected_CAGE.bed
IV	15564756	15564777	21UR-6237	255.0	-	15564756	15564777	0	1	21	15564755	pis_not_detected_CAGE.bed
IV	5214785	5214806	21UR-12256	255.0	-	5214785	5214806	0	1	21	5214780	pis_not_detected_CAGE.bed
IV	15276179	15276200	21UR-5930	255.0	-	15276179	15276200	0	1	21	15276178	pis_not_detected_CAGE.bed
IV	6770612	6770633	21UR-7784	255.0	-	6770612	6770633	0	1	21	6770606	pis_not_detected_CAGE.bed
IV	14312904	14312925	21UR-15421	255.0	-	14312904	14312925	0	1	21	14312903	pis_not_detected_CAGE.bed
IV	5039651	5039672	21UR-8287	255.0	-	5039651	5039672	0	1	21	5039646	pis_not_detected_CAGE.bed
IV	15062958	15062979	21UR-11337	255.0	-	15062958	15062979	0	1	21	15062957	pis_not_detected_CAGE.bed
IV	15842440	15842461	21UR-12884	255.0	+	15842440	15842461	0	1	21	15842439	pis_not_detected_CAGE.bed
IV	17393321	17393342	21UR-15017	255.0	+	17393321	17393342	0	1	21	17393320	pis_not_detected_CAGE.bed
IV	14663035	14663056	21UR-979	255.0	-	14663035	14663056	0	1	21	14663034	pis_not_detected_CAGE.bed
IV	16570513	16570534	21UR-6088	255.0	+	16570513	16570534	0	1	21	16570512	pis_not_detected_CAGE.bed
IV	16617814	16617835	21UR-14602	255.0	+	16617814	16617835	0	1	21	16617813	pis_not_detected_CAGE.bed
IV	5094366	5094387	21UR-10249	255.0	-	5094366	5094387	0	1	21	5094361	pis_not_detected_CAGE.bed
IV	16259002	16259023	21UR-13263	255.0	-	16259002	16259023	0	1	21	16259001	pis_not_detected_CAGE.bed
IV	15792477	15792498	21UR-4788	255.0	-	15792477	15792498	0	1	21	15792476	pis_not_detected_CAGE.bed
IV	16197870	16197891	21UR-107	255.0	-	16197870	16197891	0	1	21	16197869	pis_not_detected_CAGE.bed
IV	6494704	6494725	21UR-3463	255.0	-	6494704	6494725	0	1	21	6494698	pis_not_detected_CAGE.bed
IV	4966659	4966680	21UR-8708	255.0	+	4966659	4966680	0	1	21	4966655	pis_not_detected_CAGE.bed
IV	5321635	5321656	21UR-8085	255.0	-	5321635	5321656	0	1	21	5321630	pis_not_detected_CAGE.bed
IV	14753874	14753895	21UR-13820	255.0	-	14753874	14753895	0	1	21	14753873	pis_not_detected_CAGE.bed
V	13539987	13540008	21UR-12534	255.0	-	13539987	13540008	0	1	21	13539986	pis_not_detected_CAGE.bed
IV	14410559	14410580	21UR-6960	255.0	-	14410559	14410580	0	1	21	14410558	pis_not_detected_CAGE.bed
IV	15167773	15167794	21UR-7362	255.0	-	15167773	15167794	0	1	21	15167772	pis_not_detected_CAGE.bed
IV	16699552	16699573	21UR-15212	255.0	+	16699552	16699573	0	1	21	16699551	pis_not_detected_CAGE.bed
IV	14543602	14543623	21UR-12661	255.0	+	14543602	14543623	0	1	21	14543601	pis_not_detected_CAGE.bed
II	7765409	7765430	21UR-13586	255.0	+	7765409	7765430	0	1	21	7765402	pis_not_detected_CAGE.bed
IV	15796234	15796255	21UR-3321	255.0	+	15796234	15796255	0	1	21	15796233	pis_not_detected_CAGE.bed
IV	6655422	6655443	21UR-5798	255.0	+	6655422	6655443	0	1	21	6655416	pis_not_detected_CAGE.bed
IV	15769475	15769496	21UR-14272	255.0	+	15769475	15769496	0	1	21	15769474	pis_not_detected_CAGE.bed
IV	5935610	5935631	21UR-8847	255.0	+	5935610	5935631	0	1	21	5935605	pis_not_detected_CAGE.bed
IV	16547237	16547258	21UR-13784	255.0	+	16547237	16547258	0	1	21	16547236	pis_not_detected_CAGE.bed
IV	14555204	14555225	21UR-12531	255.0	+	14555204	14555225	0	1	21	14555203	pis_not_detected_CAGE.bed
V	7141536	7141557	21UR-12685	255.0	+	7141536	7141557	0	1	21	7141529	pis_not_detected_CAGE.bed
V	8141895	8141916	21UR-14985	255.0	-	8141895	8141916	0	1	21	8141887	pis_not_detected_CAGE.bed
IV	15301603	15301624	21UR-8649	255.0	+	15301603	15301624	0	1	21	15301602	pis_not_detected_CAGE.bed
IV	15722878	15722899	21UR-9463	255.0	+	15722878	15722899	0	1	21	15722877	pis_not_detected_CAGE.bed
IV	13727408	13727429	21UR-9073	255.0	+	13727408	13727429	0	1	21	13727407	pis_not_detected_CAGE.bed
IV	5034060	5034081	21UR-13993	255.0	-	5034060	5034081	0	1	21	5034055	pis_not_detected_CAGE.bed
IV	14420474	14420495	21UR-4769	255.0	-	14420474	14420495	0	1	21	14420473	pis_not_detected_CAGE.bed
IV	14628337	14628358	21UR-5391	255.0	+	14628337	14628358	0	1	21	14628336	pis_not_detected_CAGE.bed
IV	14734135	14734156	21UR-11500	255.0	-	14734135	14734156	0	1	21	14734134	pis_not_detected_CAGE.bed
IV	6511383	6511404	21UR-9976	255.0	+	6511383	6511404	0	1	21	6511377	pis_not_detected_CAGE.bed
IV	15934402	15934423	21UR-13840	255.0	-	15934402	15934423	0	1	21	15934401	pis_not_detected_CAGE.bed
IV	16597855	16597876	21UR-636	255.0	-	16597855	16597876	0	1	21	16597854	pis_not_detected_CAGE.bed
IV	17162995	17163016	21UR-10470	255.0	+	17162995	17163016	0	1	21	17162994	pis_not_detected_CAGE.bed
IV	5807637	5807658	21UR-8491	255.0	+	5807637	5807658	0	1	21	5807632	pis_not_detected_CAGE.bed
IV	15945781	15945802	21UR-3743	255.0	-	15945781	15945802	0	1	21	15945780	pis_not_detected_CAGE.bed
IV	17212535	17212556	21UR-15549	255.0	+	17212535	17212556	0	1	21	17212534	pis_not_detected_CAGE.bed
IV	17162265	17162286	21UR-14953	255.0	-	17162265	17162286	0	1	21	17162264	pis_not_detected_CAGE.bed
IV	15245328	15245349	21UR-5403	255.0	+	15245328	15245349	0	1	21	15245327	pis_not_detected_CAGE.bed
IV	16020758	16020779	21UR-2414	255.0	+	16020758	16020779	0	1	21	16020757	pis_not_detected_CAGE.bed
IV	14008040	14008061	21UR-3431	255.0	+	14008040	14008061	0	1	21	14008039	pis_not_detected_CAGE.bed
IV	4729707	4729728	21UR-15541	255.0	-	4729707	4729728	0	1	21	4729703	pis_not_detected_CAGE.bed
IV	8798868	8798889	21UR-13190	255.0	-	8798868	8798889	0	1	21	8798860	pis_not_detected_CAGE.bed
IV	15701415	15701436	21UR-9975	255.0	-	15701415	15701436	0	1	21	15701414	pis_not_detected_CAGE.bed
IV	15780871	15780892	21UR-259	255.0	+	15780871	15780892	0	1	21	15780870	pis_not_detected_CAGE.bed
IV	16185745	16185766	21UR-11502	255.0	-	16185745	16185766	0	1	21	16185744	pis_not_detected_CAGE.bed
IV	15164702	15164723	21UR-2374	255.0	+	15164702	15164723	0	1	21	15164701	pis_not_detected_CAGE.bed
IV	16370620	16370641	21UR-2336	255.0	-	16370620	16370641	0	1	21	16370619	pis_not_detected_CAGE.bed
IV	16818301	16818322	21UR-4150	255.0	+	16818301	16818322	0	1	21	16818300	pis_not_detected_CAGE.bed
IV	16390747	16390768	21UR-10578	255.0	+	16390747	16390768	0	1	21	16390746	pis_not_detected_CAGE.bed
IV	6342777	6342798	21UR-11130	255.0	-	6342777	6342798	0	1	21	6342771	pis_not_detected_CAGE.bed
IV	17210018	17210039	21UR-7562	255.0	-	17210018	17210039	0	1	21	17210017	pis_not_detected_CAGE.bed
IV	15307844	15307865	21UR-12117	255.0	-	15307844	15307865	0	1	21	15307843	pis_not_detected_CAGE.bed
V	11693919	11693940	21UR-14859	255.0	+	11693919	11693940	0	1	21	11693918	pis_not_detected_CAGE.bed
IV	13961115	13961136	21UR-14675	255.0	+	13961115	13961136	0	1	21	13961114	pis_not_detected_CAGE.bed
IV	16389859	16389880	21UR-3718	255.0	+	16389859	16389880	0	1	21	16389858	pis_not_detected_CAGE.bed
IV	16479441	16479462	21UR-13238	255.0	+	16479441	16479462	0	1	21	16479440	pis_not_detected_CAGE.bed
IV	15699451	15699472	21UR-8065	255.0	+	15699451	15699472	0	1	21	15699450	pis_not_detected_CAGE.bed
IV	16054128	16054149	21UR-2952	255.0	-	16054128	16054149	0	1	21	16054127	pis_not_detected_CAGE.bed
IV	14692130	14692151	21UR-15557	255.0	+	14692130	14692151	0	1	21	14692129	pis_not_detected_CAGE.bed
IV	13989626	13989647	21UR-1342	255.0	+	13989626	13989647	0	1	21	13989625	pis_not_detected_CAGE.bed
IV	16271052	16271073	21UR-12545	255.0	-	16271052	16271073	0	1	21	16271051	pis_not_detected_CAGE.bed
IV	16227510	16227531	21UR-9490	255.0	-	16227510	16227531	0	1	21	16227509	pis_not_detected_CAGE.bed
IV	14870436	14870457	21UR-7143	255.0	+	14870436	14870457	0	1	21	14870435	pis_not_detected_CAGE.bed
IV	17019359	17019380	21UR-9208	255.0	-	17019359	17019380	0	1	21	17019358	pis_not_detected_CAGE.bed
IV	6567487	6567508	21UR-8246	255.0	-	6567487	6567508	0	1	21	6567481	pis_not_detected_CAGE.bed
IV	14627586	14627607	21UR-5489	255.0	-	14627586	14627607	0	1	21	14627585	pis_not_detected_CAGE.bed
IV	16003506	16003527	21UR-322	255.0	+	16003506	16003527	0	1	21	16003505	pis_not_detected_CAGE.bed
IV	5529407	5529428	21UR-6040	255.0	+	5529407	5529428	0	1	21	5529402	pis_not_detected_CAGE.bed
IV	16109394	16109415	21UR-2000	255.0	+	16109394	16109415	0	1	21	16109393	pis_not_detected_CAGE.bed
IV	16808266	16808287	21UR-1985	255.0	+	16808266	16808287	0	1	21	16808265	pis_not_detected_CAGE.bed
IV	15314890	15314911	21UR-10749	255.0	-	15314890	15314911	0	1	21	15314889	pis_not_detected_CAGE.bed
IV	14373246	14373267	21UR-11649	255.0	+	14373246	14373267	0	1	21	14373245	pis_not_detected_CAGE.bed
IV	15882624	15882645	21UR-14169	255.0	+	15882624	15882645	0	1	21	15882623	pis_not_detected_CAGE.bed
IV	15980168	15980189	21UR-11575	255.0	+	15980168	15980189	0	1	21	15980167	pis_not_detected_CAGE.bed
IV	14456758	14456779	21UR-10364	255.0	+	14456758	14456779	0	1	21	14456757	pis_not_detected_CAGE.bed
IV	13819360	13819381	21UR-14166	255.0	-	13819360	13819381	0	1	21	13819359	pis_not_detected_CAGE.bed
IV	16255327	16255348	21UR-6582	255.0	+	16255327	16255348	0	1	21	16255326	pis_not_detected_CAGE.bed
I	5739478	5739499	21UR-15563	255.0	+	5739478	5739499	0	1	21	5739473	pis_not_detected_CAGE.bed
IV	7207885	7207906	21UR-13107	255.0	-	7207885	7207906	0	1	21	7207878	pis_not_detected_CAGE.bed
IV	15698146	15698167	21UR-2753	255.0	+	15698146	15698167	0	1	21	15698145	pis_not_detected_CAGE.bed
IV	16913814	16913835	21UR-4640	255.0	-	16913814	16913835	0	1	21	16913813	pis_not_detected_CAGE.bed
IV	17156957	17156978	21UR-14395	255.0	+	17156957	17156978	0	1	21	17156956	pis_not_detected_CAGE.bed
IV	15491017	15491038	21UR-6429	255.0	-	15491017	15491038	0	1	21	15491016	pis_not_detected_CAGE.bed
IV	16985183	16985204	21UR-13575	255.0	-	16985183	16985204	0	1	21	16985182	pis_not_detected_CAGE.bed
IV	15615470	15615491	21UR-2587	255.0	-	15615470	15615491	0	1	21	15615469	pis_not_detected_CAGE.bed
IV	14267148	14267169	21UR-7946	255.0	+	14267148	14267169	0	1	21	14267147	pis_not_detected_CAGE.bed
IV	16699590	16699611	21UR-7672	255.0	-	16699590	16699611	0	1	21	16699589	pis_not_detected_CAGE.bed
IV	6275531	6275552	21UR-14252	255.0	-	6275531	6275552	0	1	21	6275525	pis_not_detected_CAGE.bed
IV	15269044	15269065	21UR-11779	255.0	-	15269044	15269065	0	1	21	15269043	pis_not_detected_CAGE.bed
IV	15487968	15487989	21UR-14468	255.0	-	15487968	15487989	0	1	21	15487967	pis_not_detected_CAGE.bed
IV	15486456	15486477	21UR-11560	255.0	-	15486456	15486477	0	1	21	15486455	pis_not_detected_CAGE.bed
IV	13646531	13646552	21UR-10017	255.0	-	13646531	13646552	0	1	21	13646530	pis_not_detected_CAGE.bed
IV	15990778	15990799	21UR-4083	255.0	-	15990778	15990799	0	1	21	15990777	pis_not_detected_CAGE.bed
IV	14298017	14298038	21UR-5101	255.0	-	14298017	14298038	0	1	21	14298016	pis_not_detected_CAGE.bed
IV	6160957	6160978	21UR-319	255.0	+	6160957	6160978	0	1	21	6160951	pis_not_detected_CAGE.bed
IV	16450513	16450534	21UR-10196	255.0	-	16450513	16450534	0	1	21	16450512	pis_not_detected_CAGE.bed
IV	5716814	5716835	21UR-3128	255.0	+	5716814	5716835	0	1	21	5716809	pis_not_detected_CAGE.bed
IV	14536540	14536561	21UR-13759	255.0	+	14536540	14536561	0	1	21	14536539	pis_not_detected_CAGE.bed
IV	14283846	14283867	21UR-9166	255.0	+	14283846	14283867	0	1	21	14283845	pis_not_detected_CAGE.bed
IV	14899104	14899125	21UR-12085	255.0	-	14899104	14899125	0	1	21	14899103	pis_not_detected_CAGE.bed
IV	5815288	5815309	21UR-12275	255.0	-	5815288	5815309	0	1	21	5815283	pis_not_detected_CAGE.bed
X	7617073	7617094	21UR-13607	255.0	+	7617073	7617094	0	1	21	7617066	pis_not_detected_CAGE.bed
IV	16578766	16578787	21UR-12619	255.0	-	16578766	16578787	0	1	21	16578765	pis_not_detected_CAGE.bed
IV	15614139	15614160	21UR-13681	255.0	-	15614139	15614160	0	1	21	15614138	pis_not_detected_CAGE.bed
IV	16093281	16093302	21UR-7073	255.0	-	16093281	16093302	0	1	21	16093280	pis_not_detected_CAGE.bed
IV	14475695	14475716	21UR-5019	255.0	+	14475695	14475716	0	1	21	14475694	pis_not_detected_CAGE.bed
IV	15370592	15370613	21UR-922	255.0	+	15370592	15370613	0	1	21	15370591	pis_not_detected_CAGE.bed
IV	14872001	14872022	21UR-11836	255.0	-	14872001	14872022	0	1	21	14872000	pis_not_detected_CAGE.bed
IV	14607696	14607717	21UR-6829	255.0	+	14607696	14607717	0	1	21	14607695	pis_not_detected_CAGE.bed
IV	14731632	14731653	21UR-9809	255.0	-	14731632	14731653	0	1	21	14731631	pis_not_detected_CAGE.bed
IV	14008703	14008724	21UR-10953	255.0	+	14008703	14008724	0	1	21	14008702	pis_not_detected_CAGE.bed
IV	16178566	16178587	21UR-3369	255.0	+	16178566	16178587	0	1	21	16178565	pis_not_detected_CAGE.bed
IV	6054943	6054964	21UR-2354	255.0	+	6054943	6054964	0	1	21	6054937	pis_not_detected_CAGE.bed
IV	13920373	13920394	21UR-8108	255.0	+	13920373	13920394	0	1	21	13920372	pis_not_detected_CAGE.bed
IV	17233406	17233427	21UR-3037	255.0	-	17233406	17233427	0	1	21	17233405	pis_not_detected_CAGE.bed
IV	14756847	14756868	21UR-14478	255.0	+	14756847	14756868	0	1	21	14756846	pis_not_detected_CAGE.bed
IV	14987900	14987921	21UR-4792	255.0	+	14987900	14987921	0	1	21	14987899	pis_not_detected_CAGE.bed
IV	17229370	17229391	21UR-6513	255.0	+	17229370	17229391	0	1	21	17229369	pis_not_detected_CAGE.bed
IV	16106657	16106678	21UR-7406	255.0	+	16106657	16106678	0	1	21	16106656	pis_not_detected_CAGE.bed
IV	16820086	16820107	21UR-9173	255.0	-	16820086	16820107	0	1	21	16820085	pis_not_detected_CAGE.bed
IV	14702304	14702325	21UR-2204	255.0	+	14702304	14702325	0	1	21	14702303	pis_not_detected_CAGE.bed
IV	14038023	14038044	21UR-727	255.0	+	14038023	14038044	0	1	21	14038022	pis_not_detected_CAGE.bed
IV	15135925	15135946	21UR-2499	255.0	-	15135925	15135946	0	1	21	15135924	pis_not_detected_CAGE.bed
IV	15863959	15863980	21UR-13026	255.0	-	15863959	15863980	0	1	21	15863958	pis_not_detected_CAGE.bed
IV	14714755	14714776	21UR-739	255.0	-	14714755	14714776	0	1	21	14714754	pis_not_detected_CAGE.bed
IV	5215948	5215969	21UR-8861	255.0	+	5215948	5215969	0	1	21	5215943	pis_not_detected_CAGE.bed
IV	14436399	14436420	21UR-14196	255.0	+	14436399	14436420	0	1	21	14436398	pis_not_detected_CAGE.bed
IV	16024746	16024767	21UR-670	255.0	-	16024746	16024767	0	1	21	16024745	pis_not_detected_CAGE.bed
IV	15493721	15493742	21UR-511	255.0	+	15493721	15493742	0	1	21	15493720	pis_not_detected_CAGE.bed
IV	15093740	15093761	21UR-4593	255.0	+	15093740	15093761	0	1	21	15093739	pis_not_detected_CAGE.bed
IV	15588819	15588840	21UR-3842	255.0	+	15588819	15588840	0	1	21	15588818	pis_not_detected_CAGE.bed
IV	15236519	15236540	21UR-6698	255.0	-	15236519	15236540	0	1	21	15236518	pis_not_detected_CAGE.bed
IV	5413542	5413563	21UR-9761	255.0	-	5413542	5413563	0	1	21	5413537	pis_not_detected_CAGE.bed
IV	15071400	15071421	21UR-13809	255.0	-	15071400	15071421	0	1	21	15071399	pis_not_detected_CAGE.bed
IV	6273176	6273197	21UR-11650	255.0	+	6273176	6273197	0	1	21	6273170	pis_not_detected_CAGE.bed
IV	15099527	15099548	21UR-3306	255.0	+	15099527	15099548	0	1	21	15099526	pis_not_detected_CAGE.bed
IV	14298945	14298966	21UR-8360	255.0	+	14298945	14298966	0	1	21	14298944	pis_not_detected_CAGE.bed
IV	14895170	14895191	21UR-4268	255.0	+	14895170	14895191	0	1	21	14895169	pis_not_detected_CAGE.bed
IV	16977916	16977937	21UR-1132	255.0	-	16977916	16977937	0	1	21	16977915	pis_not_detected_CAGE.bed
IV	14279583	14279604	21UR-5409	255.0	-	14279583	14279604	0	1	21	14279582	pis_not_detected_CAGE.bed
IV	13859617	13859638	21UR-11462	255.0	-	13859617	13859638	0	1	21	13859616	pis_not_detected_CAGE.bed
IV	13953624	13953645	21UR-1588	255.0	+	13953624	13953645	0	1	21	13953623	pis_not_detected_CAGE.bed
IV	15967786	15967807	21UR-2030	255.0	-	15967786	15967807	0	1	21	15967785	pis_not_detected_CAGE.bed
IV	14273695	14273716	21UR-7950	255.0	-	14273695	14273716	0	1	21	14273694	pis_not_detected_CAGE.bed
III	9942216	9942237	21UR-13321	255.0	+	9942216	9942237	0	1	21	9942207	pis_not_detected_CAGE.bed
IV	15488098	15488119	21UR-1752	255.0	-	15488098	15488119	0	1	21	15488097	pis_not_detected_CAGE.bed
IV	13962738	13962759	21UR-3076	255.0	-	13962738	13962759	0	1	21	13962737	pis_not_detected_CAGE.bed
IV	15255928	15255949	21UR-2730	255.0	+	15255928	15255949	0	1	21	15255927	pis_not_detected_CAGE.bed
IV	6475792	6475813	21UR-4395	255.0	-	6475792	6475813	0	1	21	6475786	pis_not_detected_CAGE.bed
IV	5829006	5829027	21UR-2199	255.0	-	5829006	5829027	0	1	21	5829001	pis_not_detected_CAGE.bed
IV	14970212	14970233	21UR-649	255.0	-	14970212	14970233	0	1	21	14970211	pis_not_detected_CAGE.bed
IV	5902667	5902688	21UR-2745	255.0	-	5902667	5902688	0	1	21	5902662	pis_not_detected_CAGE.bed
IV	14930582	14930603	21UR-2079	255.0	+	14930582	14930603	0	1	21	14930581	pis_not_detected_CAGE.bed
IV	16876036	16876057	21UR-6336	255.0	+	16876036	16876057	0	1	21	16876035	pis_not_detected_CAGE.bed
IV	14511309	14511330	21UR-9228	255.0	+	14511309	14511330	0	1	21	14511308	pis_not_detected_CAGE.bed
IV	14438900	14438921	21UR-1679	255.0	-	14438900	14438921	0	1	21	14438899	pis_not_detected_CAGE.bed
IV	6065068	6065089	21UR-14004	255.0	-	6065068	6065089	0	1	21	6065062	pis_not_detected_CAGE.bed
IV	14399896	14399917	21UR-3183	255.0	+	14399896	14399917	0	1	21	14399895	pis_not_detected_CAGE.bed
IV	15142759	15142780	21UR-7537	255.0	-	15142759	15142780	0	1	21	15142758	pis_not_detected_CAGE.bed
IV	16985981	16986002	21UR-7022	255.0	+	16985981	16986002	0	1	21	16985980	pis_not_detected_CAGE.bed
IV	16977890	16977911	21UR-8516	255.0	+	16977890	16977911	0	1	21	16977889	pis_not_detected_CAGE.bed
IV	14994958	14994979	21UR-6027	255.0	-	14994958	14994979	0	1	21	14994957	pis_not_detected_CAGE.bed
IV	5205573	5205594	21UR-8163	255.0	+	5205573	5205594	0	1	21	5205568	pis_not_detected_CAGE.bed
IV	14918993	14919014	21UR-7464	255.0	+	14918993	14919014	0	1	21	14918992	pis_not_detected_CAGE.bed
IV	5728642	5728663	21UR-1015	255.0	+	5728642	5728663	0	1	21	5728637	pis_not_detected_CAGE.bed
IV	15776764	15776785	21UR-14518	255.0	-	15776764	15776785	0	1	21	15776763	pis_not_detected_CAGE.bed
IV	13888502	13888523	21UR-5027	255.0	-	13888502	13888523	0	1	21	13888501	pis_not_detected_CAGE.bed
IV	14263561	14263582	21UR-9593	255.0	-	14263561	14263582	0	1	21	14263560	pis_not_detected_CAGE.bed
IV	15683030	15683051	21UR-13305	255.0	+	15683030	15683051	0	1	21	15683029	pis_not_detected_CAGE.bed
IV	14402987	14403008	21UR-14605	255.0	+	14402987	14403008	0	1	21	14402986	pis_not_detected_CAGE.bed
IV	15264337	15264358	21UR-2991	255.0	-	15264337	15264358	0	1	21	15264336	pis_not_detected_CAGE.bed
IV	15587533	15587554	21UR-6487	255.0	+	15587533	15587554	0	1	21	15587532	pis_not_detected_CAGE.bed
IV	14883374	14883395	21UR-5659	255.0	+	14883374	14883395	0	1	21	14883373	pis_not_detected_CAGE.bed
IV	14008789	14008810	21UR-4354	255.0	+	14008789	14008810	0	1	21	14008788	pis_not_detected_CAGE.bed
IV	16106072	16106093	21UR-9416	255.0	-	16106072	16106093	0	1	21	16106071	pis_not_detected_CAGE.bed
IV	14898619	14898640	21UR-10190	255.0	+	14898619	14898640	0	1	21	14898618	pis_not_detected_CAGE.bed
IV	15804255	15804276	21UR-12621	255.0	+	15804255	15804276	0	1	21	15804254	pis_not_detected_CAGE.bed
IV	16047126	16047147	21UR-8310	255.0	-	16047126	16047147	0	1	21	16047125	pis_not_detected_CAGE.bed
IV	14667999	14668020	21UR-9666	255.0	+	14667999	14668020	0	1	21	14667998	pis_not_detected_CAGE.bed
IV	16621395	16621416	21UR-6549	255.0	+	16621395	16621416	0	1	21	16621394	pis_not_detected_CAGE.bed
IV	14584445	14584466	21UR-5806	255.0	+	14584445	14584466	0	1	21	14584444	pis_not_detected_CAGE.bed
