#Condition A: pooled_N2_run2/IRFinder-IR-dir.txt
#Condition B: pooled_TFIIS_I_run2/IRFinder-IR-dir.txt
Chr	Start	End	Intron-GeneName/GeneID	-	Direction	ExcludedBases	p-diff	p-increased	p-decreased	A-IRratio	A-IRok	A-IntronCover	A-IntronDepth	A-SplicesMax	A-SplicesExact	B-IRratio	B-IRok	B-IntronCover	B-IntronDepth	B-SplicesMax	B-SplicesExact
III	3905053	3905585	mmcm-1/WBGene00014202/clean	0	-	10	0.00443938	0.995561	0.00443938	0.128361	NonUniformIntronCover	0.570881	9.86667	67	67	0	-	0	0	49	49
III	806266	806512	trpp-11/WBGene00015173/clean	0	+	10	0.00444444	0.00444444	0.995556	0.0293772	-	0.423729	0.3125	14	14	1	LowCover	0.423729	1.22917	0	0
III	2356768	2358580	gip-1/WBGene00001589/clean	0	+	290	0.00444444	0.995556	0.00444444	1	LowCover	0.452037	1.31311	0	0	0.00467115	-	0.065703	0	14	14
III	11164371	11164849	cku-70/WBGene00000519/clean	0	+	10	0.00444444	0.00444444	0.995556	0	-	0	0	14	14	1	LowCover	0.403846	1.30319	0	0
I	288902	288972	ztf-3/WBGene00016905/clean	0	-	10	0.0044995	0.9955	0.0044995	0.100917	-	1	11	98	98	0	-	0	0	62	62
II	2813167	2813293	K12H6.2/WBGene00019683/clean	0	-	10	0.00459147	0.995409	0.00459147	0.5	NonUniformIntronCover	0.732759	15	15	15	0	-	0	0	12	12
I	5247370	5247509	let-363/WBGene00002583/clean	0	+	10	0.00461059	0.995389	0.00461059	0.327273	-	0.728682	18	37	37	0	-	0	0	18	18
II	7664675	7664727	rpa-1/WBGene00017546/clean	0	+	10	0.00462486	0.995375	0.00462486	0.0703364	NonUniformIntronCover	1	11.5	152	152	0	-	0	0	84	84
II	1729092	1729503	btb-9/WBGene00018435/clean	0	+	10	0.00462963	0.00462963	0.99537	0.0243309	-	0.249377	0	10	10	1	LowCover	0.498753	1.98758	0	0
II	4854410	4854463	dnj-9/WBGene00001027/clean	0	+	10	0.00462963	0.00462963	0.99537	0	-	0	0	10	10	1	LowCover	1	2	0	0
III	4523032	4523327	cdh-4/WBGene00000396/clean	0	+	10	0.00462963	0.00462963	0.99537	0	-	0	0	10	10	1	LowCover	0.449123	1.96522	0	0
V	35156	36117	egl-8/WBGene00001177/clean	0	+	10	0.0046312	0.995369	0.0046312	0.265581	NonUniformIntronCover	0.486856	3.25459	9	9	0	-	0	0	34	34
V	12610140	12610210	ZC116.1/WBGene00013853/clean	0	+	10	0.00465701	0.00465701	0.995343	0	-	0	0	69	69	0.0833333	NonUniformIntronCover	0.933333	24	264	264
II	14187806	14187861	efhd-1/WBGene00012980/clean	0	+	10	0.00465993	0.99534	0.00465993	0.0416667	NonUniformIntronCover	0.866667	10	227	227	0	-	0	0	151	151
III	9543819	9543878	ZK1098.4/WBGene00014221/clean	0	+	10	0.00468002	0.00468002	0.99532	0.00618353	-	0.510204	0.52381	82	82	0.12069	NonUniformIntronCover	0.918367	7	51	51
I	6133630	6134070	pept-3/WBGene00003878/clean	0	+	10	0.00468726	0.00468726	0.995313	0.0019283	-	0.125581	0	65	65	0.108346	NonUniformIntronCover	0.648837	4.86047	40	40
III	7374252	7374304	mml-1/WBGene00003378/clean	0	-	10	0.00469311	0.00469311	0.995307	0.00769889	-	1	9	1160	1160	0.0223233	-	1	17.4444	764	764
III	473177	473230	F10C5.2/WBGene00017328/clean	0	+	10	0.0047103	0.99529	0.0047103	0.0201342	NonUniformIntronCover	0.837209	12	584	584	0	-	0	0	304	304
X	11407291	11407358	F08B12.4/WBGene00008572/clean	0	-	10	0.00472003	0.99528	0.00472003	0.0514019	-	1	33	608	608	0.0292887	-	1	63	2077	2075
I	13628281	13628337	W09C5.1/WBGene00012351/clean	0	-	10	0.00475782	0.995242	0.00475782	0.145594	-	1	38	223	223	0.0534351	-	1	7	124	124
IV	10162340	10162391	pps-1/WBGene00004091/clean	0	+	10	0.00476924	0.995231	0.00476924	0.0120955	NonUniformIntronCover	1	15.9412	1302	1290	0	-	0	0	487	487
IV	9862671	9862723	K07F5.14/WBGene00010638/clean	0	+	10	0.00477882	0.995221	0.00477882	0.0714286	NonUniformIntronCover	0.785714	9	117	117	0	-	0	0	89	89
X	7441988	7442059	acl-12/WBGene00015295/clean	0	-	10	0.00478727	0.995213	0.00478727	0.107143	-	1	3	25	25	0.008	-	0.95082	1	124	124
III	7454197	7454385	alh-12/WBGene00000118/clean	0	+	10	0.00480536	0.995195	0.00480536	0.114094	NonUniformIntronCover	0.561798	14.1667	110	110	0	-	0	0	53	53
V	7179873	7179924	cpsf-2/WBGene00017313/clean	0	+	10	0.00483826	0.995162	0.00483826	0.024756	-	1	6.11765	241	241	0	-	0	0	282	282
IV	1980180	1980236	Y76B12C.8/WBGene00022302/clean	0	+	10	0.00485099	0.995149	0.00485099	0.038835	-	1	4	99	99	0	-	0	0	196	196
IV	4713379	4713432	miro-1/WBGene00019544/clean	0	-	10	0.00485355	0.995146	0.00485355	0.333333	-	1	9	18	18	0.00608273	-	0.116279	0	19	19
III	2330918	2330977	Y54F10BM.13/WBGene00021867/clean	0	-	10	0.0048741	0.995126	0.0048741	0.34375	NonUniformIntronCover	0.653061	4.71429	9	9	0	-	0	0	20	20
III	862383	862797	arx-4/WBGene00021170/clean	0	+	10	0.0048754	0.995125	0.0048754	0.193528	NonUniformIntronCover	0.482673	3.83951	16	16	0.00647165	-	0.247525	0	38	38
V	15069376	15069431	dnj-3/WBGene00001021/clean	0	+	10	0.00489132	0.00489132	0.995109	0.130435	-	1	3	20	20	0.642857	-	1	9	5	5
V	13714742	13714810	T01D3.5/WBGene00011329/clean	0	-	10	0.004914	0.995086	0.004914	0.0496183	-	1	13	249	249	0	-	0	0	121	121
III	11526784	11526838	xpb-1/WBGene00013441/clean	0	+	10	0.00492048	0.99508	0.00492048	0.404255	-	1	38	56	56	0.148936	-	1	7	40	40
II	4504221	4504319	camt-1/WBGene00020251/clean	0	-	10	0.00493695	0.00493695	0.995063	0.0141643	-	1	5	348	348	0.0533981	NonUniformIntronCover	0.772727	11	195	195
V	8519553	8519608	F45F2.11/WBGene00018483/clean	0	-	10	0.00494079	0.995059	0.00494079	0.192308	-	1	5	21	21	0.00774732	NonUniformIntronCover	0.288889	0	35	35
II	7685601	7686029	F18A1.1/WBGene00017545/clean	0	+	10	0.00496033	0.00496033	0.99504	0	-	0	0	14	14	0.45679	NonUniformIntronCover	0.698565	9.25	11	11
IV	13537494	13537549	rsd-2/WBGene00004681/clean	0	-	10	0.00498089	0.995019	0.00498089	0.0569395	NonUniformIntronCover	1	16	265	265	0.00671141	-	1	1	148	148
I	11581184	11581618	F15D3.8/WBGene00008858/clean	0	-	10	0.00498166	0.00498166	0.995018	0	-	0	0	10	10	0.60174	NonUniformIntronCover	0.393868	10.5765	7	7
III	7827523	7827619	egl-45/WBGene00001209/clean	0	-	10	0.00500213	0.994998	0.00500213	0.0685921	NonUniformIntronCover	1	9.5	129	129	0	-	0	0	86	86
IV	13101628	13102224	B0564.7/WBGene00007207/clean	0	+	10	0.00502972	0.00502972	0.99497	0.0212055	-	0.498294	0.567797	23	23	0.628931	LowCover	0.423208	1.69492	1	1
I	8407130	8407182	F02E9.1/WBGene00008528/clean	0	+	10	0.00503143	0.994969	0.00503143	0.0566038	NonUniformIntronCover	0.97619	3	50	50	0	-	0	0	146	146
IV	10337919	10337970	unc-43/WBGene00006779/clean	0	-	10	0.00504136	0.994959	0.00504136	0.266667	-	1	8	22	22	0	-	0	0	24	24
II	2638835	2638891	F22E5.9/WBGene00017708/clean	0	+	10	0.00505212	0.994948	0.00505212	0.0170576	-	1	8	461	461	0.000289771	NonUniformIntronCover	0.108696	0	375	375
IV	5359226	5362175	hda-6/WBGene00018319/clean	0	-	190	0.00505679	0.994943	0.00505679	0.771174	LowCover	0.68793	3.37014	1	1	0.0244302	-	0.275462	0	11	11
II	4237270	4237488	fbxc-44/WBGene00015819/clean	0	-	25	0.00505768	0.00505768	0.994942	0.00191843	-	0.357513	0.151899	186	186	0.0369562	NonUniformIntronCover	0.357513	3.64557	95	95
II	6897189	6897267	C44B7.11/WBGene00016631/clean	0	-	10	0.00506233	0.994938	0.00506233	0.0412371	-	1	12	279	279	0.00180977	NonUniformIntronCover	0.264706	0	146	146
II	6183915	6184109	F40H3.1/WBGene00018249/clean	0	+	10	0.00508148	0.994919	0.00508148	0.288462	NonUniformIntronCover	0.543478	4.86486	12	12	0	-	0	0	24	24
III	4034357	4034647	hum-5/WBGene00002038/clean	0	-	10	0.00510204	0.00510204	0.994898	0	-	0	0	91	91	0.147208	LowCover	0.507143	1.03571	6	6
III	9895331	9895422	mam-7/WBGene00009593/clean	0	+	10	0.00510204	0.994898	0.00510204	1	LowCover	0.987654	1	0	0	0	-	0	0	13	13
X	8834548	8834681	sec-15/WBGene00016188/clean	0	-	10	0.00510494	0.994895	0.00510494	0.109756	NonUniformIntronCover	0.731707	9	73	73	0.00694051	-	0.398374	0.254902	57	57
II	5091413	5091548	pld-1/WBGene00004040/clean	0	-	10	0.00511501	0.994885	0.00511501	0.115942	-	0.744	8	61	61	0.000436173	NonUniformIntronCover	0.024	0	55	55
III	13562767	13562935	T05D4.2/WBGene00011475/clean	0	-	10	0.00512326	0.994877	0.00512326	0.460485	NonUniformIntronCover	0.443038	6.82812	8	8	0	-	0	0	14	14
I	5903392	5903445	stam-1/WBGene00004109/clean	0	-	10	0.00512766	0.00512766	0.994872	0.0479806	NonUniformIntronCover	0.883721	8.31579	165	165	0.131651	-	1	20.3158	134	134
IV	206815	206947	Y38C1AA.14/WBGene00195063/clean	0	+	10	0.00513008	0.99487	0.00513008	0.111888	NonUniformIntronCover	0.745902	16	127	127	0	-	0	0	52	52
IV	13099658	13099714	exos-4.1/WBGene00007201/clean	0	+	10	0.00513823	0.994862	0.00513823	0.198075	NonUniformIntronCover	0.717391	12.35	50	50	0	-	0	0	31	31
X	17187298	17187350	sid-3/WBGene00002207/clean	0	+	10	0.00517709	0.00517709	0.994823	0	-	0	0	97	97	0.0769231	NonUniformIntronCover	0.714286	4	48	48
II	10705062	10705129	col-39/WBGene00000616/clean	0	+	10	0.00518104	0.00518104	0.994819	0	-	0	0	45	45	0.12766	NonUniformIntronCover	0.947368	18	123	123
IV	7519560	7519711	R05G6.10/WBGene00019902/clean	0	-	10	0.00518519	0.00518519	0.994815	0.139793	-	1	12.3509	76	76	0.321839	NonUniformIntronCover	1	28	59	59
V	12482565	12482623	atn-1/WBGene00000228/clean	0	+	10	0.00519866	0.00519866	0.994801	0.0346369	-	0.645833	0.85	18	18	0.482353	NonUniformIntronCover	0.645833	10.25	11	11
V	4518544	4518598	sos-1/WBGene00004947/clean	0	-	10	0.00519984	0.00519984	0.9948	0.0408163	-	1	4	93	93	0.189189	NonUniformIntronCover	0.954545	7	28	28
III	10443233	10443472	H04D03.3/WBGene00010364/clean	0	+	10	0.00520366	0.994796	0.00520366	0.320459	NonUniformIntronCover	0.786026	9.90323	21	21	0.000229779	-	0.00436681	0	19	19
V	19466119	19466193	Y43F8B.23/WBGene00194815/clean	0	-	10	0.00520696	0.994793	0.00520696	0.166667	-	1	3	15	15	0.0188679	-	1	2	104	92
X	3214998	3215057	rgl-1/WBGene00017891/clean	0	-	10	0.00522708	0.00522708	0.994773	0	-	0	0	60	60	0.102041	NonUniformIntronCover	1	10	88	88
V	20317991	20318042	Y113G7C.1/WBGene00013771/clean	0	+	10	0.00523594	0.00523594	0.994764	0	-	0	0	129	129	0.0458569	NonUniformIntronCover	1	15.2353	317	317
IV	10872513	10872628	F13E9.1/WBGene00008750/clean	0	+	10	0.00525219	0.994748	0.00525219	0.540925	LowCover	0.657143	3.53488	3	3	0	-	0	0	13	13
III	7923289	7923575	tag-250/WBGene00016203/clean	0	-	10	0.00528121	0.994719	0.00528121	0.0255301	-	0.706522	14.75	563	563	0.00175833	NonUniformIntronCover	0.572464	0.678571	305	305
V	10146023	10146132	C51E3.9/WBGene00008254/clean	0	+	11	0.00532833	0.00532833	0.994672	0	-	0	0	121	121	0.0449181	NonUniformIntronCover	0.642857	24.55	521	521
X	3571601	3571676	vit-3/WBGene00006927/clean	0	-	10	0.00533747	0.00533747	0.994663	0.00246761	NonUniformIntronCover	1	4	1613	1613	0.03125	-	0.923077	1	31	31
III	10644066	10644126	orc-1/WBGene00012650/clean	0	+	10	0.00535777	0.994642	0.00535777	0.224556	NonUniformIntronCover	1	6.95	24	24	0.0232558	-	1	1	42	42
V	19632004	19632425	Y43F8C.5/WBGene00012827/clean	0	-	10	0.00537268	0.00537268	0.994627	0.123672	-	0.690998	1.97576	14	14	0.603229	NonUniformIntronCover	0.815085	53.2121	35	35
IV	8686111	8686256	pole-2/WBGene00017237/clean	0	-	10	0.00545027	0.99455	0.00545027	0.0525839	NonUniformIntronCover	0.748148	11.6	209	209	0.000746978	-	0.0814815	0	109	100
II	7539099	7539154	nfi-1/WBGene00003592/clean	0	+	10	0.00545279	0.994547	0.00545279	0.0378788	NonUniformIntronCover	1	10	254	254	0.00013887	-	0.0222222	0	160	149
II	5038353	5038409	F33G12.5/WBGene00018017/clean	0	-	10	0.00548697	0.00548697	0.994513	0	-	0	0	25	25	0.583333	LowCover	0.586957	1.4	1	1
V	423443	423495	dod-20/WBGene00015259/clean	0	+	10	0.00548697	0.994513	0.00548697	0.25	LowCover	0.714286	1	3	3	0	-	0	0	50	40
II	8324550	8324607	ran-3/WBGene00004304/clean	0	-	10	0.00551959	0.99448	0.00551959	0.0344828	-	1	11	308	308	0	-	0	0	173	173
II	9590116	9590168	E02H1.1/WBGene00008455/clean	0	-	10	0.00553241	0.994468	0.00553241	0.333333	LowCover	0.738095	3	6	6	0	-	0	0	24	24
X	16335103	16335277	taf-3/WBGene00006384/clean	0	+	10	0.00553241	0.994468	0.00553241	0.492308	LowCover	0.591463	2.90909	3	3	0	-	0	0	16	16
V	7237654	7237709	hyls-1/WBGene00015466/clean	0	+	10	0.0055327	0.994467	0.0055327	0.086039	-	1	53	563	563	0.0225564	-	1	3	130	130
IV	12897227	12897682	K08D8.7/WBGene00185092/clean	0	+	10	0.00554337	0.00554337	0.994457	0.0117681	-	0.494382	1.81006	152	152	0.0831533	MinorIsoform	0.617978	5.80447	28	28
V	12952941	12952996	pqn-68/WBGene00004151/clean	0	+	10	0.00557991	0.99442	0.00557991	0.0434783	-	1	18	331	331	0	-	0	0	121	121
IV	10392949	10393001	R10H10.3/WBGene00011222/clean	0	+	10	0.00562075	0.994379	0.00562075	0.130435	-	1	3	20	20	0	-	0	0	61	61
III	8690941	8691207	B0303.4/WBGene00015126/clean	0	+	10	0.0056433	0.994357	0.0056433	0.143979	NonUniformIntronCover	0.753906	10.9327	65	65	0	-	0	0	41	41
I	12204787	12204839	C15C6.2/WBGene00007601/clean	0	+	10	0.00565808	0.994342	0.00565808	0.128874	-	1	13.1667	89	89	0.0557281	-	1	37.8889	642	642
III	6726941	6727460	Y102E9.2/WBGene00022420/clean	0	+	10	0.00568801	0.994312	0.00568801	0.173511	NonUniformIntronCover	0.64833	11.3366	54	54	0.00424795	-	0.149312	0	35	35
III	9718671	9718931	ncx-7/WBGene00003572/clean	0	-	10	0.00569424	0.994306	0.00569424	0.4	LowCover	0.4	2	3	3	0	-	0	0	23	23
I	4658762	4659008	ain-2/WBGene00015007/clean	0	+	10	0.0057234	0.994277	0.0057234	0.556787	NonUniformIntronCover	0.559322	6.28125	5	5	0	-	0	0	12	12
IV	5341181	5341689	Y4C6B.2/WBGene00021156/clean	0	+	72	0.00579715	0.994203	0.00579715	0.0666667	NonUniformIntronCover	0.463303	2	28	28	0.00272143	-	0.373853	0.1875	137	137
IV	1303530	1304385	F53H1.1/WBGene00018776/clean	0	-	10	0.00581045	0.99419	0.00581045	0.256282	NonUniformIntronCover	0.706509	3.79056	11	11	0.00436395	-	0.118343	0	27	27
V	5660509	5660568	mut-14/WBGene00003507/clean	0	-	10	0.00582437	0.00582437	0.994176	0.217054	NonUniformIntronCover	1	28	101	101	0.555556	-	1	10	8	8
II	7253532	7253588	ada-2/WBGene00017967/clean	0	+	10	0.00582625	0.00582625	0.994174	0.141274	-	1	35.7	217	217	0.325	-	1	13	27	27
IV	8511631	8511685	mes-6/WBGene00003224/clean	0	+	10	0.00582704	0.00582704	0.994173	0.132759	-	1	118.944	775	775	0.211408	NonUniformIntronCover	0.75	39.9444	149	149
IV	6603402	6603462	F15B10.3/WBGene00017481/clean	0	+	10	0.00586046	0.99414	0.00586046	0.367867	NonUniformIntronCover	1	20.95	36	36	0	-	0	0	15	15
II	14524832	14524883	pot-2/WBGene00010195/clean	0	+	10	0.0058738	0.0058738	0.994126	0	-	0	0	25	25	0.238095	-	1	10	32	32
I	10338639	10338842	ears-1/WBGene00001337/clean	0	+	10	0.00588762	0.994112	0.00588762	0.605	NonUniformIntronCover	0.829016	7.65823	5	5	0	-	0	0	10	10
I	8963076	8963148	snpc-4/WBGene00001568/clean	0	+	10	0.00591716	0.00591716	0.994083	0	-	0	0	12	12	1	LowCover	1	1	0	0
X	12377970	12378268	glb-13/WBGene00008957/clean	0	-	10	0.00591716	0.00591716	0.994083	0	-	0	0	12	12	1	LowCover	0.347222	1.42241	0	0
IV	7575137	7575516	F32E10.5/WBGene00017992/clean	0	-	10	0.00593416	0.994066	0.00593416	0.0653956	NonUniformIntronCover	0.696477	7.06711	101	101	0.00378524	-	0.368564	0.308725	97	97
II	11337751	11337807	sqt-1/WBGene00005016/clean	0	-	12	0.00598653	0.00598653	0.994013	0.0185185	-	1	2	106	106	0.0843823	-	1	362	3928	3928
III	4218680	4219077	mpk-1/WBGene00003401/clean	0	-	10	0.00603243	0.00603243	0.993968	7.66754e-06	-	0.00258398	0	337	337	0.028672	NonUniformIntronCover	0.589147	2.15484	73	73
IV	444400	444474	mrpl-55/WBGene00022045/clean	0	+	10	0.00603772	0.993962	0.00603772	0.15	NonUniformIntronCover	1	6	34	34	0	-	0	0	43	43
X	17384447	17384505	F10D7.5/WBGene00017342/clean	0	-	10	0.00604662	0.00604662	0.993953	0	-	0	0	32	32	0.1875	-	1	9	39	39
III	6121687	6121862	kin-18/WBGene00002201/clean	0	+	10	0.00608776	0.993912	0.00608776	0.303452	NonUniformIntronCover	0.921212	23.0896	53	53	0	-	0	0	18	18
IV	1956888	1957660	F52C12.6/WBGene00138717/clean	0	+	10	0.00611097	0.993889	0.00611097	0.203031	NonUniformIntronCover	0.730971	5.60458	22	22	0.00893089	-	0.270341	0	30	30
V	15135122	15135455	aipl-1/WBGene00010685/clean	0	-	10	0.00616505	0.993835	0.00616505	0.195115	NonUniformIntronCover	0.585139	9.93893	41	41	0.00798526	-	0.241486	0	30	30
III	7276090	7276145	B0361.6/WBGene00015160/clean	0	-	10	0.0061964	0.993804	0.0061964	0.185185	-	1	5	22	22	0	-	0	0	36	36
II	10658378	10658458	M28.5/WBGene00010896/clean	0	-	10	0.0062041	0.993796	0.0062041	0.0224297	-	1	15.7857	688	688	0.00358852	-	0.471429	1.28571	357	357
I	5744566	5744619	rad-8/WBGene00044305/clean	0	+	10	0.00621634	0.993784	0.00621634	0.0462046	-	1	14	289	289	0.00558659	-	1	1	178	178
II	4889688	4889741	R05F9.6/WBGene00019890/clean	0	+	10	0.00622091	0.00622091	0.993779	0.0429975	NonUniformIntronCover	1	33.1579	738	726	0.0807799	-	1	29	330	329
I	7681689	7681872	T23G11.7/WBGene00011972/clean	0	+	10	0.00622237	0.993778	0.00622237	0.0117878	NonUniformIntronCover	0.578035	4.83099	405	405	0	-	0	0	546	546
V	13819454	13819519	sel-10/WBGene00004767/clean	0	+	10	0.00623604	0.993764	0.00623604	0.296742	-	1	25.7391	61	61	0	-	0	0	18	18
X	14482681	14482735	gfi-3/WBGene00001583/clean	0	+	10	0.00624108	0.993759	0.00624108	0.333333	LowCover	1	1	2	2	0.0285714	-	1	4	136	136
I	1709733	1710668	atg-5/WBGene00022152/clean	0	+	10	0.00627304	0.00627304	0.993727	0.0185914	NonUniformIntronCover	0.595676	3.37197	178	178	0.13971	-	0.456216	1.94879	12	12
X	1485322	1485671	D1005.4/WBGene00016998/clean	0	-	10	0.00628992	0.00628992	0.99371	0.0454545	-	0.657817	1	21	21	0.689342	LowCover	0.60767	2.21898	1	1
V	14483503	14483705	R02D5.3/WBGene00010977/clean	0	+	10	0.00631301	0.993687	0.00631301	0.0365965	-	0.505208	2.05128	54	54	0.00035834	NonUniformIntronCover	0.0885417	0	247	247
II	5661781	5662167	mdt-26/WBGene00016115/clean	0	+	10	0.00633911	0.00633911	0.993661	0.0796396	-	0.949468	28.9013	334	334	0.140367	-	0.87234	51.5987	316	316
V	13668280	13668349	rde-12/WBGene00010280/clean	0	+	10	0.00636676	0.00636676	0.993633	0.254902	-	1	26	76	76	0.521989	NonUniformIntronCover	1	21.84	20	20
III	5256917	5257004	gop-1/WBGene00001660/clean	0	+	10	0.00638016	0.99362	0.00638016	0.25963	NonUniformIntronCover	1	10.871	31	31	0	-	0	0	22	22
V	7685789	7685843	nhr-94/WBGene00003684/clean	0	-	10	0.006386	0.006386	0.993614	0	-	0	0	13	13	0.422151	NonUniformIntronCover	1	14.6111	20	20
IV	666144	666248	K11H12.7/WBGene00019663/clean	0	+	10	0.00639144	0.00639144	0.993609	0.00271264	-	0.478723	0.894737	176	176	0.0505651	NonUniformIntronCover	0.478723	6.71053	126	126
I	10735750	10735805	kin-3/WBGene00002191/clean	0	+	10	0.00641354	0.993586	0.00641354	0.199599	-	1	10.4737	42	42	0.0222222	-	1	1	44	44
I	7189370	7189579	M05B5.4/WBGene00010872/clean	0	+	10	0.00641596	0.00641596	0.993584	0	-	0	0	38	38	0.174873	NonUniformIntronCover	0.512563	2.54321	12	12
II	2646396	2646450	F22E5.12/WBGene00017710/clean	0	-	10	0.00641596	0.993584	0.00641596	0.181818	NonUniformIntronCover	0.386364	2.66667	12	12	0	-	0	0	38	38
X	8422720	8422853	tth-1/WBGene00006649/clean	0	-	10	0.00642118	0.993579	0.00642118	0.125	-	0.804878	2	14	14	0.0102527	NonUniformIntronCover	0.463415	1.64706	159	159
III	4715044	4715118	him-18/WBGene00011415/clean	0	-	10	0.00642482	0.993575	0.00642482	0.0114613	NonUniformIntronCover	0.875	8	690	690	0	-	0	0	525	525
I	5878644	5878831	noah-1/WBGene00016422/clean	0	-	10	0.00645189	0.00645189	0.993548	0.0356173	-	0.813559	1.66197	45	45	0.206358	NonUniformIntronCover	0.813559	33.2817	128	128
X	13416345	13416663	C29F7.2/WBGene00007811/clean	0	+	10	0.0064648	0.993535	0.0064648	0.234711	NonUniformIntronCover	0.873377	10.121	33	33	0.0120606	-	0.305195	0.016129	25	25
V	10952177	10952242	F17C11.4/WBGene00008915/clean	0	+	10	0.00648131	0.993519	0.00648131	0.32149	-	1	64.913	137	137	0.120459	NonUniformIntronCover	0.618182	5.47826	40	40
V	211683	211815	DC2.5/WBGene00017082/clean	0	-	10	0.00649279	0.993507	0.00649279	0.114417	NonUniformIntronCover	0.704918	6.46	50	50	0	-	0	0	59	59
III	4910662	4910756	F26F4.9/WBGene00017829/clean	0	-	10	0.00650575	0.993494	0.00650575	0.0487805	NonUniformIntronCover	0.964286	10	195	195	0	-	0	0	118	118
II	6928859	6929305	flcn-1/WBGene00017699/clean	0	+	10	0.00651363	0.00651363	0.993486	0.0110576	-	0.447248	0.369318	40	40	0.166124	NonUniformIntronCover	0.449541	6.375	32	32
II	8698351	8698402	C34C6.4/WBGene00007917/clean	0	-	10	0.00651822	0.00651822	0.993482	0	-	0	0	469	469	0.0140056	-	1	5	352	352
X	4616421	4616472	pqn-65/WBGene00004148/clean	0	-	10	0.00652361	0.00652361	0.993476	0.0740741	-	1	12	150	150	0.212766	-	1	10	37	37
II	9669679	9669730	taf-8/WBGene00006390/clean	0	+	10	0.00653326	0.993467	0.00653326	0.0118343	-	1	10	835	835	0	NonUniformIntronCover	0	0	490	490
V	2673576	2673629	W02G9.3/WBGene00020953/clean	0	+	10	0.00655161	0.00655161	0.993448	0.0337838	NonUniformIntronCover	1	15	429	421	0.0772059	-	1	21	251	251
II	10647626	10647686	M28.10/WBGene00010901/clean	0	+	10	0.00657591	0.00657591	0.993424	0	-	0	0	44	44	0.131579	NonUniformIntronCover	0.94	10	66	66
X	14496598	14496681	ztf-14/WBGene00010936/clean	0	+	10	0.00657591	0.993424	0.00657591	0.527919	NonUniformIntronCover	0.643836	10.0645	9	9	0	-	0	0	11	11
III	465162	465775	magu-1/WBGene00021914/clean	0	-	10	0.0065918	0.993408	0.0065918	0.683594	LowCover	0.482587	2.16049	1	1	0	-	0	0	13	13
I	6044947	6045209	C27A12.2/WBGene00016154/clean	0	+	10	0.00666389	0.993336	0.00666389	0.368812	LowCover	0.400794	2.92157	5	5	0	-	0	0	20	20
II	14293022	14293074	Y54G11A.4/WBGene00013215/clean	0	+	10	0.00666389	0.993336	0.00666389	0.75	LowCover	1	3	1	1	0	-	0	0	10	10
IV	13840609	13841099	rga-5/WBGene00010374/clean	0	+	10	0.00666389	0.993336	0.00666389	0.768116	LowCover	0.410417	3.3125	1	1	0	-	0	0	10	10
I	3466185	3466236	Y47G6A.14/WBGene00021640/clean	0	-	10	0.0066728	0.993327	0.0066728	0.0208333	NonUniformIntronCover	1	8	376	376	0.000170532	-	0.0487805	0	286	286
II	9765545	9765686	shk-1/WBGene00014261/clean	0	+	14	0.00667531	0.00667531	0.993325	0	-	0	0	23	23	0.257507	NonUniformIntronCover	0.692913	5.54902	16	16
III	13641963	13642117	T12D8.10/WBGene00023450/clean	0	-	10	0.00671431	0.993286	0.00671431	0.0300391	NonUniformIntronCover	0.881944	8.2069	265	265	0	-	0	0	203	203
V	14424058	14424111	rrbs-1/WBGene00007617/clean	0	-	10	0.00673834	0.993262	0.00673834	0.0545455	-	1	9	156	156	0.00625	-	1	1	159	159
I	332764	332845	daf-25/WBGene00000917/clean	0	+	10	0.00680627	0.00680627	0.993194	0	-	0	0	44	44	0.132353	NonUniformIntronCover	1	9	59	59
I	8035312	8035480	cdc-48.3/WBGene00010562/clean	0	-	10	0.00680943	0.993191	0.00680943	0.0415735	-	0.886076	11.625	268	264	0.00183256	-	0.240506	0	131	124
II	14772808	14772885	Y54E2A.7/WBGene00013192/clean	0	-	10	0.00681254	0.993187	0.00681254	0.71504	-	1	20.0741	8	8	0.396296	NonUniformIntronCover	1	194.963	297	297
I	8798878	8799176	F36A2.3/WBGene00009453/clean	0	+	10	0.00686795	0.00686795	0.993132	0.00190961	MinorIsoform	0.1875	0	64	64	0.0776221	-	0.513889	1.76724	20	20
III	8789859	8789916	ztf-1/WBGene00018833/clean	0	-	10	0.0069107	0.0069107	0.993089	0	-	0	0	34	34	0.25	LowCover	0.723404	2	6	6
II	10995236	10995309	ptp-3/WBGene00004215/clean	0	+	10	0.00693041	0.99307	0.00693041	0.238095	NonUniformIntronCover	0.920635	10	32	32	0	-	0	0	24	24
IV	9666365	9666464	nhr-34/WBGene00003627/clean	0	-	10	0.00693041	0.99307	0.00693041	0.178571	NonUniformIntronCover	0.820225	10	46	46	0	-	0	0	32	32
III	6882838	6882896	K04C2.7/WBGene00044311/clean	0	+	10	0.00694444	0.00694444	0.993056	0	-	0	0	11	11	1	LowCover	1	1	0	0
IV	17403714	17403767	pmp-4/WBGene00004061/clean	0	-	10	0.00694444	0.00694444	0.993056	0	-	0	0	11	11	1	LowCover	0.302326	1.10526	0	0
X	5462993	5463292	ddr-1/WBGene00016104/clean	0	+	10	0.00694444	0.00694444	0.993056	0	-	0	0	11	11	1	LowCover	0.33564	1.12821	0	0
